"Execution Time (UTC)","Execution Time (Local)","Technique","Test Number","Test Name","Hostname","IP Address","Username","GUID","ProcessId","ExitCode"
"2025-04-21T04:40:35Z","2025-04-21T07:40:35Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","7008","0"
"2025-04-21T04:41:11Z","2025-04-21T07:41:11Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","11004","0"
"2025-04-21T04:41:36Z","2025-04-21T07:41:36Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","12760","0"
"2025-04-21T04:42:10Z","2025-04-21T07:42:10Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","15716","0"
"2025-04-21T04:42:49Z","2025-04-21T07:42:49Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","4612","0"
"2025-04-21T04:43:29Z","2025-04-21T07:43:29Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","13604","0"
"2025-04-21T04:44:03Z","2025-04-21T07:44:03Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","12496","0"
"2025-04-21T04:44:32Z","2025-04-21T07:44:32Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","14952","0"
"2025-04-21T04:45:00Z","2025-04-21T07:45:00Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","1644","0"
"2025-04-21T04:45:41Z","2025-04-21T07:45:41Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","9060","0"
"2025-04-21T04:46:14Z","2025-04-21T07:46:14Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","13056","0"
"2025-04-21T04:46:47Z","2025-04-21T07:46:47Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","14512","0"
"2025-04-21T04:47:22Z","2025-04-21T07:47:22Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","10944","0"
"2025-04-21T04:47:53Z","2025-04-21T07:47:53Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","1280","0"
"2025-04-21T04:48:29Z","2025-04-21T07:48:29Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","15992","0"
"2025-04-21T04:48:59Z","2025-04-21T07:48:59Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","1344","0"
"2025-04-21T04:49:35Z","2025-04-21T07:49:35Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","7932","0"
"2025-04-21T04:50:04Z","2025-04-21T07:50:04Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","2312","0"
"2025-04-21T04:50:41Z","2025-04-21T07:50:41Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","14276","0"
"2025-04-21T04:51:19Z","2025-04-21T07:51:19Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","16240","0"
"2025-04-21T04:51:48Z","2025-04-21T07:51:48Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","11444","0"
"2025-04-21T04:52:20Z","2025-04-21T07:52:20Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","8292","0"
"2025-04-21T04:52:53Z","2025-04-21T07:52:53Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","5028","0"
"2025-04-21T04:53:24Z","2025-04-21T07:53:24Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","15812","0"
"2025-04-21T04:54:05Z","2025-04-21T07:54:05Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","3616","0"
"2025-04-21T04:54:32Z","2025-04-21T07:54:32Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","5156","0"
"2025-04-21T04:55:05Z","2025-04-21T07:55:05Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","9464","0"
"2025-04-21T04:55:45Z","2025-04-21T07:55:45Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","4432","0"
"2025-04-21T04:56:27Z","2025-04-21T07:56:27Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","14052","0"
"2025-04-21T04:57:11Z","2025-04-21T07:57:11Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","11548","0"
"2025-04-21T04:57:39Z","2025-04-21T07:57:39Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","440","0"
"2025-04-21T04:58:21Z","2025-04-21T07:58:21Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","3332","0"
"2025-04-21T04:58:58Z","2025-04-21T07:58:58Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","15408","0"
"2025-04-21T04:59:36Z","2025-04-21T07:59:36Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","15864","0"
"2025-04-21T05:00:03Z","2025-04-21T08:00:03Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","14856","0"
